"id","chembl_id"
3078,"CHEMBL481310"
3079,"CHEMBL258707"
3080,"CHEMBL494083"
3083,"CHEMBL517247"
3084,"CHEMBL458187"
3085,"CHEMBL1096939"
3090,"CHEMBL46340"
3091,"CHEMBL138450"
3092,"CHEMBL456872"
3094,"CHEMBL510510"
3095,"CHEMBL506367"
3096,"CHEMBL2203608"
3096,"CHEMBL226995"
3109,"CHEMBL464990"
3113,"CHEMBL495873"
3116,"CHEMBL1477081"
3116,"CHEMBL265955"
3117,"CHEMBL459115"
3121,"CHEMBL2323762"
3125,"CHEMBL486627"
3129,"CHEMBL464664"
3147,"CHEMBL498242"
3169,"CHEMBL477832"
3223,"CHEMBL555017"
3261,"CHEMBL1096927"
3261,"CHEMBL2104360"
3261,"CHEMBL519167"
3320,"CHEMBL1783834"
3370,"CHEMBL3357160"
3416,"CHEMBL502073"
3445,"CHEMBL3099571"
3455,"CHEMBL451702"
3478,"CHEMBL3355096"
3508,"CHEMBL3182436"
3508,"CHEMBL508801"
3509,"CHEMBL156127"
3516,"CHEMBL1994725"
3519,"CHEMBL501174"
3531,"CHEMBL1923157"
3550,"CHEMBL1159684"
3550,"CHEMBL2358118"
3550,"CHEMBL263382"
3552,"CHEMBL1977780"
3558,"CHEMBL268393"
3561,"CHEMBL562810"
3586,"CHEMBL2205166"
3596,"CHEMBL459407"
3598,"CHEMBL459623"
3604,"CHEMBL382849"
3608,"CHEMBL55858"
3614,"CHEMBL111469"
3616,"CHEMBL3184952"
3618,"CHEMBL471184"
3622,"CHEMBL1934070"
3623,"CHEMBL1710181"
3624,"CHEMBL448060"
3625,"CHEMBL453805"
3628,"CHEMBL450771"
3633,"CHEMBL156692"
3634,"CHEMBL502489"
3642,"CHEMBL1098255"
3658,"CHEMBL28457"
3658,"CHEMBL29285"
3658,"CHEMBL463440"
3658,"CHEMBL464881"
3658,"CHEMBL464882"
3659,"CHEMBL513640"
3691,"CHEMBL126813"
3695,"CHEMBL2036044"
3696,"CHEMBL457677"
3698,"CHEMBL1689799"
3699,"CHEMBL559714"
3701,"CHEMBL1535695"
3703,"CHEMBL477969"
3712,"CHEMBL516427"
3713,"CHEMBL1096731"
3714,"CHEMBL487992"
3715,"CHEMBL488606"
3717,"CHEMBL2442947"
3718,"CHEMBL494252"
3723,"CHEMBL557493"
3724,"CHEMBL563210"
3730,"CHEMBL478791"
3736,"CHEMBL508187"
3737,"CHEMBL517032"
3739,"CHEMBL2147812"
3740,"CHEMBL460547"
3741,"CHEMBL393136"
3743,"CHEMBL2230263"
3747,"CHEMBL466143"
3748,"CHEMBL458135"
3754,"CHEMBL1996298"
3754,"CHEMBL455102"
3756,"CHEMBL516930"
3757,"CHEMBL253998"
3757,"CHEMBL488888"
3766,"CHEMBL192159"
3767,"CHEMBL518543"
3768,"CHEMBL2165001"
3773,"CHEMBL514057"
3775,"CHEMBL590636"
3776,"CHEMBL3616491"
3777,"CHEMBL458188"
3780,"CHEMBL2018876"
3781,"CHEMBL570609"
3782,"CHEMBL570526"
3783,"CHEMBL570475"
3785,"CHEMBL460437"
3792,"CHEMBL463452"
3793,"CHEMBL600185"
3794,"CHEMBL485777"
3796,"CHEMBL1915459"
3799,"CHEMBL454580"
3801,"CHEMBL408716"
3802,"CHEMBL260553"
3804,"CHEMBL560332"
3805,"CHEMBL2437090"
3806,"CHEMBL506229"
3810,"CHEMBL393222"
3811,"CHEMBL549617"
3813,"CHEMBL460441"
3815,"CHEMBL506234"
3823,"CHEMBL2204386"
3824,"CHEMBL253467"
3825,"CHEMBL465880"
3826,"CHEMBL460618"
3834,"CHEMBL3746555"
3835,"CHEMBL457263"
3837,"CHEMBL464581"
3838,"CHEMBL1711925"
3844,"CHEMBL3288841"
3846,"CHEMBL491534"
3847,"CHEMBL457686"
3854,"CHEMBL2260659"
3855,"CHEMBL3120671"
3857,"CHEMBL2437362"
3858,"CHEMBL350475"
3859,"CHEMBL564653"
3860,"CHEMBL451193"
3861,"CHEMBL517213"
3867,"CHEMBL516116"
3873,"CHEMBL444942"
3878,"CHEMBL463106"
3879,"CHEMBL464006"
3882,"CHEMBL1770312"
3884,"CHEMBL221907"
3888,"CHEMBL465650"
3889,"CHEMBL461821"
3890,"CHEMBL557501"
3891,"CHEMBL462877"
3892,"CHEMBL516550"
3894,"CHEMBL461820"
3899,"CHEMBL458134"
3906,"CHEMBL559980"
3907,"CHEMBL565072"
3908,"CHEMBL3809573"
3911,"CHEMBL3809753"
3912,"CHEMBL508534"
3923,"CHEMBL459820"
3924,"CHEMBL517862"
3928,"CHEMBL1765391"
3936,"CHEMBL115452"
3937,"CHEMBL464428"
3942,"CHEMBL457950"
3943,"CHEMBL229506"
3949,"CHEMBL1644933"
3950,"CHEMBL508727"
3951,"CHEMBL253677"
3952,"CHEMBL229885"
3953,"CHEMBL456309"
3955,"CHEMBL2437363"
3958,"CHEMBL468906"
3959,"CHEMBL465164"
3960,"CHEMBL460335"
3961,"CHEMBL465166"
3962,"CHEMBL465165"
3966,"CHEMBL515359"
3967,"CHEMBL478937"
3980,"CHEMBL500669"
3981,"CHEMBL255890"
3981,"CHEMBL454332"
3983,"CHEMBL470454"
3988,"CHEMBL457168"
3991,"CHEMBL3809403"
3992,"CHEMBL491515"
3993,"CHEMBL458762"
3994,"CHEMBL457303"
3995,"CHEMBL113833"
3997,"CHEMBL229454"
4001,"CHEMBL470655"
4008,"CHEMBL229671"
4009,"CHEMBL3125437"
4010,"CHEMBL461061"
4013,"CHEMBL463936"
4014,"CHEMBL512693"
4017,"CHEMBL464007"
4019,"CHEMBL457679"
4020,"CHEMBL2437373"
4021,"CHEMBL500601"
4023,"CHEMBL2437368"
4024,"CHEMBL457680"
4025,"CHEMBL462721"
4026,"CHEMBL1688178"
